# 방언 어휘 사전 (Dialect Vocabulary Dictionary)
# 각 지역별 대표 방언 용어들을 수록
# 형식: 방언용어|지역|표준어뜻

# 경상도 방언
가가리|경상|구렁이
갔다가|경상|~했어
고마해라|경상|고맙습니다
기라|경상|그래
기멘|경상|그러면
까이|경상|같이
꼬시랑|경상|아주, 몹시
니가|경상|네가
뭐라카노|경상|뭐라고 하니
뭐하노|경상|뭐하니
묵자|경상|먹자
봤다카이|경상|봤다고
아이가|경상|아니다
안된다아이가|경상|안된다
안카노|경상|안 그러니
야|경상|얘
억수로|경상|엄청, 매우
예|경상|네
오이소|경상|오세요
잘있다가소|경상|잘있다 가세요
카이|경상|그래
카모|경상|그러니까
하이소|경상|하세요

# 전라도 방언
거시기|전라|그것
것이|전라|것이
고따|전라|그렇게
구라|전라|거짓말
긴디|전라|그런데
긴게|전라|그러니까
께|전라|~에게
꺼정|전라|까지
꼬짖다|전라|야단치다
꽁치|전라|까지
난디|전라|나는데
당께|전라|그러니까
디|전라|~에
라고|전라|~라고
묵다|전라|먹다
무신|전라|무슨
바래|전라|바래
밥묵었어|전라|밥먹었어
봤제|전라|봤어
블랑|전라|빨리
뿌대기|전라|머리
삘다|전라|피우다
양푼이|전라|대야
와|전라|왜
잉|전라|응
잘있다가게|전라|잘있다 가게
저기잉|전라|저기
진짜|전라|진짜
찔리다|전라|찌르다

# 충청도 방언
가유|충청|가요
겨|충청|그래
고라유|충청|그래요
구만유|충청|그러네요
구먼유|충청|그렇군요
기유|충청|그래요
나가유|충청|나가요
댕기다|충청|다니다
디|충청|~에
마|충청|~야
문디|충청|무엇을
뭐유|충청|뭐예요
슴다|충청|합니다
시방|충청|지금
씨유|충청|~해요
이리|충청|이리
자시다|충청|주무시다
중기|충청|중국집
짱나다|충청|짜증나다
카유|충청|그래요
티|충청|~에
하유|충청|~해요

# 강원도 방언
가제|강원|가자
겁나게|강원|엄청
고런|강원|그런
구만|강원|그렇구나
그라|강원|그래
그러케|강원|그렇게
그래야|강원|그래도
기라|강원|그래
기영|강원|그렇게
꺼시기|강원|그것
다매|강원|모두
댄데|강원|데에
동내|강원|동네
마씀|강원|말씀
무사|강원|왜
문대|강원|무엇
방구|강원|방금
뻘겋다|강원|빨갛다
삥대리|강원|삐뚤어지다
억수로|강원|엄청
엉차|강원|힘차게
자그만치|강원|조금만치
짜부러지다|강원|찌그러지다
째빠지다|강원|작아지다

# 제주도 방언
가민|제주|가면
게메|제주|게
고냥|제주|그냥
곰작거린다|제주|가만히 있다
골갱이|제주|골목
궨당|제주|친척
난|제주|나는
낭|제주|나무
도|제주|돼지
동생이|제주|동생
맨날|제주|매일
멩질|제주|멍석
무사|제주|왜
바지랑|제주|바다
반듯이|제주|반드시
봉그라진다|제주|부러진다
빙떡|제주|메밀전
성|제주|숲
수다|제주|많다
쉐|제주|소
앗다|제주|있다
영|제주|이렇게
오메기떡|제주|조떡
옵서예|제주|오세요
자리돔|제주|작은돔
혼저옵서예|제주|어서오세요
